id,name,brand_id/id,season
pline_bridgestone__turanza_el440,TURANZA EL440,brand_bridgestone,all_season
pline_firestone__firehawk_pvs,FIREHAWK PVS,brand_firestone,all_season
pline_bridgestone__ecopia_ep422_plus,ECOPIA EP422 PLUS,brand_bridgestone,all_season
pline_bridgestone__turanza_t005,TURANZA T005,brand_bridgestone,all_season
pline_firestone__weathergrip,WEATHERGRIP,brand_firestone,all_weather_3pmsf
pline_bridgestone__ecopia_ep422,ECOPIA EP422,brand_bridgestone,all_season
pline_bridgestone__driveguard_plus,DRIVEGUARD PLUS,brand_bridgestone,all_season
pline_firestone__transforce_at2,TRANSFORCE AT2,brand_firestone,all_season
pline_bridgestone__blizzak_ws90,BLIZZAK WS90,brand_bridgestone,winter
pline_bridgestone__driveguard,DRIVEGUARD,brand_bridgestone,all_season
pline_bridgestone__potenza_sport,POTENZA SPORT,brand_bridgestone,summer
pline_bridgestone__weatherpeak,WEATHERPEAK,brand_bridgestone,all_weather_3pmsf
pline_bridgestone__dueler_a_t_rh_s,DUELER A/T RH-S,brand_bridgestone,all_weather_3pmsf
pline_firestone__firehawk_indy_500_v2,FIREHAWK INDY 500 V2,brand_firestone,summer
pline_bridgestone__ultraweather,ULTRAWEATHER,brand_bridgestone,all_weather_3pmsf
pline_firestone__destination_x_t,DESTINATION X/T,brand_firestone,all_weather_3pmsf
pline_bridgestone__turanza_ls100_moe,TURANZA LS100 MOE,brand_bridgestone,all_season
pline_bridgestone__turanza_el450_rft,TURANZA EL450 RFT,brand_bridgestone,all_season
pline_bridgestone__dueler_a_t_revo_3,DUELER A/T REVO 3,brand_bridgestone,all_weather_3pmsf
pline_firestone__winterforce_2,WINTERFORCE 2,brand_firestone,winter
pline_bridgestone__blizzak_lm001,BLIZZAK LM001,brand_bridgestone,winter
pline_bridgestone__blizzak_icepeak,BLIZZAK ICEPEAK,brand_bridgestone,winter
pline_firestone__affinity_as,AFFINITY AS,brand_firestone,all_season
pline_bridgestone__blizzak_dm_v2,BLIZZAK DM-V2,brand_bridgestone,winter
pline_firestone__firehawk_pursuit,FIREHAWK PURSUIT,brand_firestone,all_season
pline_bridgestone__potenza_sport_evo,POTENZA SPORT EVO,brand_bridgestone,summer
pline_bridgestone__turanza_6,TURANZA 6,brand_bridgestone,all_season
pline_bridgestone__potenza_re_71rs,POTENZA RE-71RS,brand_bridgestone,summer
pline_firestone__firehawk_indy_500,FIREHAWK INDY 500,brand_firestone,summer
pline_bridgestone__alenza_a_s_02,ALENZA A/S 02,brand_bridgestone,all_season
pline_bridgestone__duravis_r238,DURAVIS R238,brand_bridgestone,all_season
pline_bridgestone__turanza_t001,TURANZA T001,brand_bridgestone,all_season
pline_firestone__winterforce_cv,WINTERFORCE CV,brand_firestone,winter
pline_bridgestone__duravis_r500_hd,DURAVIS R500 HD,brand_bridgestone,all_season
pline_bridgestone__alenza_as_ultra,ALENZA AS ULTRA,brand_bridgestone,all_season
pline_bridgestone__turanza_el450,TURANZA EL450,brand_bridgestone,all_season
pline_bridgestone__dueler_h_t_685,DUELER H/T 685,brand_bridgestone,all_season
pline_bridgestone__ecopia_h_l_422_plus_rft,ECOPIA H/L 422 PLUS RFT,brand_bridgestone,all_season
pline_bridgestone__alenza_sport_a_s,ALENZA SPORT A/S,brand_bridgestone,summer
pline_firestone__firehawk_as,FIREHAWK AS,brand_firestone,all_season
pline_firestone__transforce_cv,TRANSFORCE CV,brand_firestone,all_season
pline_bridgestone__blizzak_6,BLIZZAK 6,brand_bridgestone,winter
pline_bridgestone__potenza_s001_rft,POTENZA S001 RFT,brand_bridgestone,summer
pline_bridgestone__turanza_ls100_ext,TURANZA LS100 EXT,brand_bridgestone,all_season
pline_bridgestone__turanza_ls100,TURANZA LS100,brand_bridgestone,all_season
pline_bridgestone__dueler_a_t_ascent,DUELER A/T ASCENT,brand_bridgestone,all_weather_3pmsf
pline_bridgestone__potenza_s007_a_rft,POTENZA S007 A RFT,brand_bridgestone,summer
pline_bridgestone__alenza_prestige,ALENZA PRESTIGE,brand_bridgestone,all_season
pline_bridgestone__potenza_s001_i,POTENZA S001 I,brand_bridgestone,summer
pline_firestone__all_season,ALL SEASON,brand_firestone,all_season
pline_bridgestone__turanza_quiettrack,TURANZA QUIETTRACK,brand_bridgestone,all_season
pline_firestone__destination_m_t2,DESTINATION M/T2,brand_firestone,all_season
pline_bridgestone__blizzak_rft,BLIZZAK RFT,brand_bridgestone,winter
pline_firestone__destination_a_t2,DESTINATION A/T2,brand_firestone,all_weather_3pmsf
pline_bridgestone__potenza_sport_as,POTENZA SPORT AS,brand_bridgestone,summer
pline_bridgestone__alenza_sport_a_s_rft,ALENZA SPORT A/S RFT,brand_bridgestone,summer
pline_bridgestone__alenza_001_rft,ALENZA 001 RFT,brand_bridgestone,all_season
pline_firestone__winterforce_2_uv,WINTERFORCE 2 UV,brand_firestone,winter
pline_bridgestone__potenza_s005_rft_sponge,POTENZA S005 RFT SPONGE,brand_bridgestone,summer
pline_fuzion__fuzion_highway,FUZION HIGHWAY,brand_fuzion,all_season
pline_bridgestone__potenza_s001,POTENZA S001,brand_bridgestone,summer
pline_bridgestone__potenza_s001l,POTENZA S001L,brand_bridgestone,summer
pline_firestone__transforce_ht2,TRANSFORCE HT2,brand_firestone,all_season
pline_fuzion__fuzion_max_traction,FUZION MAX TRACTION,brand_fuzion,all_season
pline_firestone__destination_le3,DESTINATION LE3,brand_firestone,all_season
pline_bridgestone__turanza_er300,TURANZA ER300,brand_bridgestone,all_season
pline_firestone__firehawk_as_v2,FIREHAWK AS V2,brand_firestone,all_season
pline_bridgestone__turanza_prestige,TURANZA PRESTIGE,brand_bridgestone,all_season
pline_bridgestone__blizzak_lm001_rft,BLIZZAK LM001 RFT,brand_bridgestone,winter
pline_bridgestone__turanza_everdrive,TURANZA EVERDRIVE,brand_bridgestone,all_season
pline_bridgestone__potenza_s001l_rft,POTENZA S001L RFT,brand_bridgestone,summer
pline_bridgestone__ecopia_h_l_422_plus,ECOPIA H/L 422 PLUS,brand_bridgestone,all_season
pline_bridgestone__potenza_re050a_i_rft,POTENZA RE050A I RFT,brand_bridgestone,summer
pline_bridgestone__potenza_re050a,POTENZA RE050A,brand_bridgestone,summer
pline_bridgestone__dueler_h_l_33,DUELER H/L 33,brand_bridgestone,all_season
pline_fuzion__fuzion_touring_a_s,FUZION TOURING A/S,brand_fuzion,all_season
pline_firestone__transforce_cv2,TRANSFORCE CV2,brand_firestone,all_season
pline_bridgestone__turanza_t005_rft,TURANZA T005 RFT,brand_bridgestone,all_season
pline_fuzion__fuzion_sport,FUZION SPORT,brand_fuzion,summer
pline_bridgestone__potenza_re97as,POTENZA RE97AS,brand_bridgestone,summer
pline_bridgestone__potenza_re_71rz,POTENZA RE-71RZ,brand_bridgestone,summer
pline_fuzion__fuzion_a_t,FUZION A/T,brand_fuzion,all_weather_3pmsf
pline_fuzion__fuzion_uhp_sport_a_s,FUZION UHP SPORT A/S,brand_fuzion,summer
pline_bridgestone__dueler_h_l_400_ecopia,DUELER H/L 400 ECOPIA,brand_bridgestone,all_season
pline_bridgestone__potenza_re050a_moextended,POTENZA RE050A MOEXTENDED,brand_bridgestone,summer
pline_bridgestone__potenza_re97as_rft,POTENZA RE97AS RFT,brand_bridgestone,summer
pline_firestone__destination_le_2,DESTINATION LE 2,brand_firestone,all_season
pline_fuzion__fuzion_touring,FUZION TOURING,brand_fuzion,all_season
pline_bridgestone__dueler_h_p_sport_as,DUELER H/P SPORT AS,brand_bridgestone,summer
pline_bridgestone__alenza_001_sp,ALENZA 001 SP,brand_bridgestone,all_season
pline_firestone__tempa_spare_radial,TEMPA SPARE RADIAL,brand_firestone,all_season
pline_bridgestone__dueler_h_l_400,DUELER H/L 400,brand_bridgestone,all_season
pline_firestone__ft140,FT140,brand_firestone,all_season
pline_bridgestone__alenza_001,ALENZA 001,brand_bridgestone,all_season
pline_bridgestone__blizzak_lm_60_rft,BLIZZAK LM-60 RFT,brand_bridgestone,winter
pline_bridgestone__blizzak_lt,BLIZZAK LT,brand_bridgestone,winter
pline_bridgestone__blizzak_lm005_moe_sp,BLIZZAK LM005 MOE SP,brand_bridgestone,winter
pline_fuzion__fuzion_suv,FUZION SUV,brand_fuzion,all_season
pline_bridgestone__potenza_s005_rft,POTENZA S005 RFT,brand_bridgestone,summer
pline_bridgestone__turanza_ls100_a,TURANZA LS100 A,brand_bridgestone,all_season
pline_bridgestone__turanza_ls100_rft,TURANZA LS100 RFT,brand_bridgestone,all_season
pline_bridgestone__tempa_spare_tr2,TEMPA SPARE TR2,brand_bridgestone,all_season
pline_bridgestone__ts_tracompa_tr3,TS TRACOMPA TR3,brand_bridgestone,all_season
pline_bridgestone__tempa_spare_tracompa_tr2d,TEMPA SPARE TRACOMPA TR2D,brand_bridgestone,all_season
pline_bridgestone__turanza_t005_ad,TURANZA T005 AD,brand_bridgestone,all_season
pline_firestone__transforce_ht3,TRANSFORCE HT3,brand_firestone,all_season
pline_firestone__winterforce_lt,WINTERFORCE LT,brand_firestone,winter
pline_bridgestone__blizzak_lm005,BLIZZAK LM005,brand_bridgestone,winter
pline_bridgestone__dueler_h_p_sport,DUELER H/P SPORT,brand_bridgestone,summer
pline_bridgestone__turanza_el400_02,TURANZA EL400-02,brand_bridgestone,all_season
